fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Troyes -- Angers,0.099344097,0.334458797,1.788073913,0,0.01004,1,0,9,0,1,1,3,20,0,1,0,0,2,0,1,28/08/2022 13:00,0,0,1.001072396,0,0,0,0,2,0,0,0,0,7,0,0,0,0,1,0,0,2.231916808,1.001072396,2.231916808,1.001072396,0.443842894,0,2022,Ligue1
Reims -- Lyon,0.0469287,0,0.84215939,0,0,0,0,5,0,0,1,0,7,0,0,0,0,1,0,0,28/08/2022 15:05,0.035110801,0.094941501,1.240485421,0,0,1,0,4,0,0,1,3,14,0,0,0,0,1,0,0,0.889088091,1.370537723,0.889088091,1.370537723,0.0469287,0.130052302,2022,Ligue1
Paris Saint Germain -- Monaco,0,0,1.926240928,0.760095,0.036980301,0,0,4,1,0,0,0,16,1,1,0,0,0,1,0,28/08/2022 18:45,0.070395097,0,0.167398799,0,0,1,0,2,0,0,1,0,3,0,0,0,0,1,0,0,2.72331623,0.237793896,1.96322123,0.237793896,0.036980301,0.070395097,2022,Ligue1
Angers -- Reims,0.059568699,0.115685999,0.369782802,0.760095,0.129038006,0,0,1,1,1,1,1,6,1,1,0,0,0,1,1,31/08/2022 17:00,0.032575998,0,1.559680275,0.760095,0,0,0,4,1,0,1,0,9,1,0,0,0,3,1,0,1.434170507,2.352351273,0.674075507,1.592256273,0.304292705,0.032575998,2022,Ligue1
Lyon -- Auxerre,0,1.130287799,2.196568688,0,0.0122709,0,1,6,0,0,0,5,14,0,1,0,1,1,0,0,31/08/2022 17:00,0,0.0394013,0.3719639,0,0,0,0,2,0,0,0,1,5,0,0,0,0,1,0,0,3.339127388,0.4113652,3.339127388,0.4113652,1.142558699,0.0394013,2022,Ligue1
Monaco -- Troyes,0,0.92158783,0.773056477,0,0,0,3,3,0,0,0,4,4,0,0,0,2,0,0,0,31/08/2022 17:00,0,1.052509526,0.828425564,0.760095,0.076233498,0,3,5,1,2,0,6,10,1,2,0,1,1,1,1,1.694644308,2.717263588,1.694644308,1.957168587,0.92158783,1.128743024,2022,Ligue1
Montpellier -- Ajaccio,0.0747585,0,1.626287676,0,0.123065002,0,0,4,0,0,1,0,7,0,1,0,0,2,0,0,31/08/2022 17:00,0.162158996,0.143169103,0.301659371,0,0.297710005,0,0,0,0,0,1,3,7,0,4,0,0,0,0,0,1.824111179,0.904697475,1.824111179,0.904697475,0.197823502,0.603038104,2022,Ligue1
Strasbourg -- Nantes,0.0703815,0.102968,0.087969402,0,0,0,1,1,0,0,1,1,3,0,0,0,1,0,0,0,31/08/2022 17:00,0,0.019683899,0.455769468,0,0.106741004,0,0,3,0,0,0,1,10,0,1,0,0,1,0,0,0.261318902,0.582194371,0.261318902,0.582194371,0.1733495,0.126424903,2022,Ligue1
Lens -- Lorient,0,0.124453001,2.902161037,0,0,0,0,8,0,0,0,1,14,0,0,0,0,5,0,0,31/08/2022 19:00,0,0.745099008,0.703799012,0,0,0,1,2,0,0,0,1,9,0,0,0,1,1,0,0,3.026614037,1.44889802,3.026614037,1.44889802,0.124453001,0.745099008,2022,Ligue1
Lille -- Nice,0,0.076874001,0.695385005,0,0.164637139,0,2,3,0,1,0,4,11,0,3,0,1,0,0,0,31/08/2022 19:00,0,0,0.0235436,1.520190001,0,0,0,0,2,0,0,0,1,2,0,0,0,0,2,0,0.936896145,1.543733601,0.936896145,0.0235436,0.24151114,0,2022,Ligue1
Marseille -- Clermont Foot,0.047489401,0.151639901,1.511505198,0.760095,0.065975102,1,1,3,1,1,1,3,14,1,2,0,1,0,0,0,31/08/2022 19:00,0,0.033288099,0,0,0.132995002,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2.536704602,0.166283101,1.776609601,0.166283101,0.265104404,0.166283101,2022,Ligue1
Rennes -- Brest,0,0.147952598,1.313579293,0,0,0,1,8,0,0,0,4,12,0,0,0,1,2,0,0,31/08/2022 19:00,0,0.090655101,0.177402301,0,0,0,1,1,0,0,0,2,5,0,0,0,1,0,0,0,1.461531891,0.268057402,1.461531891,0.268057402,0.147952598,0.090655101,2022,Ligue1
Toulouse -- Paris Saint Germain,0.0437598,0.0610159,0.477849298,0,0,1,0,6,0,0,1,1,12,0,0,0,0,0,0,0,31/08/2022 19:00,0.211991601,0.128003102,3.605128692,0,0,1,1,10,0,0,2,2,16,0,0,0,0,3,0,0,0.582624999,3.945123395,0.582624999,3.945123395,0.104775701,0.339994702,2022,Ligue1
Auxerre -- Marseille,0.028590901,0.281425897,0.313017523,0,0,0,1,1,0,0,1,2,5,0,0,0,0,0,0,0,03/09/2022 15:00,0,0.0178787,1.553843617,0,0,0,0,7,0,0,0,1,14,0,0,0,0,2,0,0,0.623034321,1.571722317,0.623034321,1.571722317,0.310016798,0.0178787,2022,Ligue1
Lyon -- Angers,0.055320401,0.312891908,1.041174277,0,0,0,2,7,0,0,1,4,11,0,0,0,1,4,0,0,03/09/2022 17:00,0.0429787,0.0150231,0.627043299,0,0,0,0,2,0,0,1,1,6,0,0,0,0,0,0,0,1.409386585,0.6850451,1.409386585,0.6850451,0.368212309,0.0580018,2022,Ligue1
Nantes -- Paris Saint Germain,0,0.081995998,0.333023624,0,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,03/09/2022 19:00,0.082789503,0.639836399,2.884190194,0,0,0,1,5,0,0,1,4,14,0,0,0,0,3,0,0,0.415019622,3.606816096,0.415019622,3.606816096,0.081995998,0.722625902,2022,Ligue1
Montpellier -- Lille,0.122300703,0,0.338021997,0,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,0,04/09/2022 11:00,0,0.297973501,0.987626017,0,0,0,1,6,0,0,0,7,19,0,0,0,0,3,0,0,0.4603227,1.285599519,0.4603227,1.285599519,0.122300703,0.297973501,2022,Ligue1
Ajaccio -- Lorient,0.100651599,0.0796452,0.297506201,0,0.0425478,0,0,3,0,0,2,2,11,0,1,0,0,0,0,0,04/09/2022 13:00,0,0.0811406,0.386955993,0,0.0409525,0,0,3,0,1,0,1,5,0,1,0,0,1,0,0,0.5203508,0.509049093,0.5203508,0.509049093,0.222844599,0.1220931,2022,Ligue1
Brest -- Strasbourg,0,0.144372903,0.554771787,0,0.0277691,0,1,1,0,0,0,3,7,0,1,0,0,1,0,0,04/09/2022 13:00,0.103075296,0,1.789870109,0.760095,0,0,0,2,1,0,2,0,7,1,0,0,0,0,1,0,0.726913789,2.653040405,0.726913789,1.892945405,0.172142003,0.103075296,2022,Ligue1
Clermont Foot -- Toulouse,0,0.72083047,0.73838842,0,0.0480984,0,1,1,0,1,0,3,8,0,1,0,1,1,0,0,04/09/2022 13:00,0.115825802,0.183305495,1.117377426,0,0.0318763,1,0,1,0,1,2,4,7,0,1,0,0,0,0,0,1.507317291,1.448385024,1.507317291,1.448385024,0.768928871,0.331007597,2022,Ligue1
Reims -- Lens,0.112418003,0.255153898,1.294613181,0,0.097815,0,1,2,0,1,1,4,10,0,2,0,0,1,0,0,04/09/2022 13:00,0,0,2.240265292,0,0.00988983,0,0,4,0,0,0,0,19,0,1,0,0,1,0,0,1.760000082,2.250155122,1.760000082,2.250155122,0.465386901,0.00988983,2022,Ligue1
Troyes -- Rennes,0,0.154192995,0.213859399,0,0.202344701,0,0,0,0,1,0,2,4,0,3,0,0,0,0,1,04/09/2022 15:05,0.090305001,0.121407602,2.283449886,0,0.115209799,0,1,4,0,1,1,3,13,0,2,0,0,1,0,0,0.570397095,2.610372288,0.570397095,2.610372288,0.356537696,0.326922402,2022,Ligue1
Nice -- Monaco,0,0.514485806,0.494251303,0,0.122330898,0,1,3,0,1,0,2,7,0,3,0,0,0,0,0,04/09/2022 18:45,0,0.053893501,1.112451484,0,0,0,0,2,0,0,0,3,11,0,0,0,0,1,0,0,1.131068008,1.166344985,1.131068008,1.166344985,0.636816705,0.053893501,2022,Ligue1
Lorient -- Lyon,0.133035902,0,1.241453797,0,0.113126099,2,0,3,0,1,2,0,7,0,2,1,0,2,0,0,07/09/2022 19:00,0.079812899,0.038921598,2.17948731,0,0,0,0,7,0,0,1,1,13,0,0,0,0,1,0,0,1.487615798,2.298221808,1.487615798,2.298221808,0.246162001,0.118734498,2022,Ligue1
Lens -- Troyes,0,0.137473002,0.901280706,0,0.409280002,0,1,1,0,1,0,1,10,0,1,0,0,0,0,1,09/09/2022 19:00,0,0.048374999,0.628924277,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,1.44803371,0.677299276,1.44803371,0.677299276,0.546753004,0.048374999,2022,Ligue1
Paris Saint Germain -- Brest,0,0.104738802,1.907950921,0,0,0,0,4,0,0,0,2,12,0,0,0,0,1,0,0,10/09/2022 15:00,0,0,0.584291287,0.760095,0,0,0,2,1,0,0,0,5,1,0,0,0,0,0,0,2.012689723,1.344386287,2.012689723,0.584291287,0.104738802,0,2022,Ligue1
