fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Stoke -- West Bromwich Albion,0.095430199,0.071766099,1.037917736,0,0.013375,1,0,3,0,0,2,2,8,0,1,0,0,0,0,0,29/08/2015 18:00,0,0,0.834015212,0,0.047179,0,0,4,0,1,0,0,13,0,2,0,0,1,0,0,1.218489034,0.881194212,1.218489034,0.881194212,0.180571298,0.047179,2015,EPL
Tottenham -- Everton,0,0.044762101,1.954408275,0,0,0,1,5,0,0,0,1,19,0,0,0,0,0,0,0,29/08/2015 20:30,0.052596301,0,0.614790807,0,0.027304601,0,0,2,0,1,1,0,6,0,1,0,0,0,0,0,1.999170376,0.694691708,1.999170376,0.694691708,0.044762101,0.079900902,2015,EPL
Southampton -- Norwich,0.0989752,0.263925806,2.927384418,0,0,1,0,7,0,0,2,4,17,0,0,0,0,3,0,0,30/08/2015 16:30,0,0.035216201,0.605030894,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,3.290285423,0.640247095,3.290285423,0.640247095,0.362901006,0.035216201,2015,EPL
Swansea -- Manchester United,0.0241435,0,0.523148602,0,0.423891991,1,0,3,0,0,1,0,7,0,1,0,0,2,0,0,30/08/2015 19:00,0.0477947,0,1.233099617,0,0,1,0,3,0,0,1,0,10,0,0,0,0,1,0,0,0.971184094,1.280894317,0.971184094,1.280894317,0.448035492,0.0477947,2015,EPL
Everton -- Chelsea,0.049245398,0.0445303,1.086480394,0,0,1,1,7,0,0,1,2,11,0,0,0,0,3,0,0,12/09/2015 15:45,0,0.268920403,0.388858396,0,0,0,0,2,0,0,0,4,11,0,0,0,0,1,0,0,1.180256093,0.657778799,1.180256093,0.657778799,0.093775699,0.268920403,2015,EPL
Arsenal -- Stoke,0.0587557,0.126541999,3.928011857,0,0.542689178,1,0,9,0,2,1,5,21,0,2,0,0,1,0,1,12/09/2015 18:00,0,0,0.193823091,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,4.655998734,0.193823091,4.655998734,0.193823091,0.727986877,0,2015,EPL
Crystal Palace -- Manchester City,0,0,0.733430842,0,0.0100496,0,0,2,0,0,0,0,9,0,1,0,0,0,0,0,12/09/2015 18:00,0,0.0495014,2.556247222,0,0.561349988,0,0,6,0,1,0,3,17,0,1,0,0,1,0,0,0.743480443,3.16709861,0.743480443,3.16709861,0.0100496,0.610851387,2015,EPL
Norwich -- Bournemouth,0,0.124698099,1.208190603,0,0,0,0,4,0,0,0,3,9,0,0,0,0,3,0,0,12/09/2015 18:00,0,0.037708599,0.177167704,0,0.174618304,0,1,0,0,1,0,1,4,0,2,0,1,0,0,0,1.332888702,0.389494607,1.332888702,0.389494607,0.124698099,0.212326903,2015,EPL
Watford -- Swansea,0,0,1.19624442,0,0.427389949,0,0,5,0,1,0,0,14,0,3,0,0,0,0,1,12/09/2015 18:00,0,0,0.503007972,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,1.623634369,0.503007972,1.623634369,0.503007972,0.427389949,0,2015,EPL
West Bromwich Albion -- Southampton,0,0.1403653,0.268777796,0,0,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,12/09/2015 18:00,0,0.104855601,0.903802995,0,0,0,0,4,0,0,0,2,13,0,0,0,0,0,0,0,0.409143096,1.008658595,0.409143096,1.008658595,0.1403653,0.104855601,2015,EPL
