fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,date,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Crystal Palace -- Burnley,0.0,0.1638848027214408,0.4757343390956521,0.0,0.14091421011835337,0,0,3,0,0,0,4,9,0,3,0,0,0,0,0,2014-09-13 15:00:00,0.04452880099415779,0.0,0.38471619971096516,0.7611690163612366,0.05888549983501434,0,0,2,1,0,1,0,8,1,1,2014-09-13 15:00:00,0,0,0,0,0,0.7805333519354463,1.2492995169013739,0.7805333519354463,0.4881305005401373,0.30479901283979416,0.10341430082917213,2014,EPL
Southampton -- Newcastle United,0.0,0.06407680362462997,2.0533082392066717,0.0,0.0,0,0,7,0,0,0,1,9,0,0,0,0,4,0,0,2014-09-13 15:00:00,0.0,0.19012869521975517,0.9178634099662304,0.0,0.04227209836244583,0,2,2,0,0,0,2,6,0,1,2014-09-13 15:00:00,0,0,0,0,0,2.1173850428313017,1.1502642035484314,2.1173850428313017,1.1502642035484314,0.06407680362462997,0.232400793582201,2014,EPL
Stoke -- Leicester,0.06269849836826324,0.20901890378445387,1.2185061988420784,0.0,0.15759910084307194,0,0,6,0,0,1,6,17,0,3,0,0,0,0,0,2014-09-13 15:00:00,0.0,0.0,0.5355871077626944,0.0,0.06292730011045933,0,0,1,0,0,0,0,6,0,2,2014-09-13 15:00:00,0,0,1,0,0,1.6478227018378675,0.5985144078731537,1.6478227018378675,0.5985144078731537,0.42931650299578905,0.06292730011045933,2014,EPL
Sunderland -- Tottenham,0.0,0.0,0.3389661032706499,0.0,0.0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,2014-09-13 15:00:00,0.07878989726305008,0.14502700045704842,1.8306028908118606,0.0,0.0,0,0,6,0,0,1,2,13,0,1,2014-09-13 15:00:00,0,0,2,0,0,0.3389661032706499,2.054419788531959,0.3389661032706499,2.054419788531959,0.0,0.2238168977200985,2014,EPL
West Bromwich Albion -- Everton,0.18036629259586334,0.0,0.42169290222227573,0.0,0.0,0,0,3,0,0,2,0,11,0,0,0,0,0,0,0,2014-09-13 15:00:00,0.0,0.0,0.8246802147477865,0.0,0.0,0,0,5,0,0,0,0,12,0,0,2014-09-13 15:00:00,0,0,2,0,0,0.6020591948181391,0.8246802147477865,0.6020591948181391,0.8246802147477865,0.18036629259586334,0.0,2014,EPL
Liverpool -- Aston Villa,0.0,0.25750219635665417,0.47281200159341097,0.0,0.0,0,1,0,0,0,0,4,14,0,0,0,0,0,0,0,2014-09-13 17:30:00,0.0,0.42284540832042694,0.0,0.0,0.291577011346817,0,1,0,0,0,0,4,0,0,1,2014-09-13 17:30:00,0,1,0,0,0,0.7303141979500651,0.714422419667244,0.7303141979500651,0.714422419667244,0.25750219635665417,0.714422419667244,2014,EPL
Manchester United -- Queens Park Rangers,0.029882099479436874,0.012732099741697311,2.179299113340676,0.0,0.0,1,0,8,0,0,1,1,16,0,0,1,0,3,0,0,2014-09-14 16:00:00,0.0,0.0595552995800972,0.503967881668359,0.0,0.0,0,0,1,0,0,0,1,8,0,0,2014-09-14 16:00:00,0,0,0,0,0,2.22191331256181,0.5635231812484562,2.22191331256181,0.5635231812484562,0.042614199221134186,0.0595552995800972,2014,EPL
Hull -- West Ham,0.0,0.018167000263929367,0.4209168003872037,0.0,0.0,0,1,5,0,0,0,1,10,0,0,0,0,2,0,0,2014-09-15 20:00:00,0.0,0.18171939812600613,0.4275532076135278,0.0,0.05240560136735439,0,0,4,0,0,0,3,12,0,2,2014-09-15 20:00:00,0,0,2,0,0,0.43908380065113306,0.6616782071068883,0.43908380065113306,0.6616782071068883,0.018167000263929367,0.23412499949336052,2014,EPL
Queens Park Rangers -- Stoke,0.09645819664001465,0.5202577970921993,0.34039100259542465,0.0,0.09931560233235359,1,1,1,0,2,1,4,13,0,3,1,1,0,0,0,2014-09-20 12:45:00,0.0,0.0,1.4584689270704985,0.0,0.0,0,0,4,0,0,0,0,8,0,0,2014-09-20 12:45:00,0,0,2,0,0,1.0564225986599922,1.4584689270704985,1.0564225986599922,1.4584689270704985,0.7160315960645676,0.0,2014,EPL
Aston Villa -- Arsenal,0.0,0.12815780192613602,0.03948580101132393,0.0,0.4813689887523651,0,0,1,0,1,0,3,3,0,1,0,0,0,0,0,2014-09-20 15:00:00,0.0,0.10964200273156166,1.2526000030338764,0.0,0.0,0,0,3,0,0,0,2,7,0,0,2014-09-20 15:00:00,0,0,2,0,0,0.6490125916898251,1.362242005765438,0.6490125916898251,1.362242005765438,0.6095267906785011,0.10964200273156166,2014,EPL
