fixture,home_directfk_xG,home_corner_xG,home_op_xG,home_pen_xG,home_setpiece_xG,home_directfk_shots_ot,home_corner_shots_ot,home_op_shots_ot,home_pen_shots_ot,home_setpiece_shots_ot,home_directfk_shots,home_corner_shots,home_op_shots,home_pen_shots,home_setpiece_shots,home_directfk_goals,home_corner_goals,home_op_goals,home_pen_goals,home_setpiece_goals,date,away_directfk_xG,away_corner_xG,away_op_xG,away_pen_xG,away_setpiece_xG,away_directfk_shots_ot,away_corner_shots_ot,away_op_shots_ot,away_pen_shots_ot,away_setpiece_shots_ot,away_directfk_shots,away_corner_shots,away_op_shots,away_pen_shots,away_setpiece_shots,away_directfk_goals,away_corner_goals,away_op_goals,away_pen_goals,away_setpiece_goals,home_xG,away_xG,home_np_xG,away_np_xG,home_sp_xG,away_sp_xG,season,league
Lecce -- Napoli,0,0,0.589549385,0.761299014,0.025061499,0,0,1,1,1,0,0,7,1,2,0,0,0,1,0,22/09/2019 13:00,0,0.198686604,2.495652478,0.761299014,0.019364901,0,1,8,1,0,0,3,16,1,1,0,0,3,1,0,1.375909898,3.475002998,0.614610884,2.713703983,0.025061499,0.218051505,2019,SerieA
Sampdoria -- Torino,0,0.0512552,1.758079795,0,0.033627699,0,0,6,0,0,0,2,13,0,2,0,0,1,0,0,22/09/2019 13:00,0.038515899,0.042296399,0.135875605,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,1.842962694,0.216687904,1.842962694,0.216687904,0.084882899,0.080812299,2019,SerieA
Atalanta -- Fiorentina,0.158084901,0.090404501,1.20114958,0,0,0,1,2,0,0,3,4,13,0,0,0,1,1,0,0,22/09/2019 16:00,0.085041098,0.0338329,0.391533094,0,0.899112265,0,0,2,0,0,1,1,4,0,3,0,0,1,0,0,1.449638982,1.409519357,1.449638982,1.409519357,0.248489402,1.017986264,2019,SerieA
Lazio -- Parma Calcio 1913,0,0.229250497,1.775482708,0,0,0,1,8,0,0,0,5,20,0,0,0,0,2,0,0,22/09/2019 18:45,0,0,0.49327499,0,0.0113835,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,2.004733205,0.50465849,2.004733205,0.50465849,0.229250497,0.0113835,2019,SerieA
Verona -- Udinese,0,0.1873648,0.791205397,0,0,0,1,3,0,0,0,5,8,0,0,0,0,0,0,0,24/09/2019 17:00,0,0.538849807,0.2826085,0,0,0,0,3,0,0,0,3,8,0,0,0,0,0,0,0,0.978570197,0.821458307,0.978570197,0.821458307,0.1873648,0.538849807,2019,SerieA
Brescia -- Juventus,0.064668702,0.048729999,0.576225094,0,0,1,0,2,0,0,2,3,12,0,0,0,0,1,0,0,24/09/2019 19:00,0.140345201,0.0415655,1.672946833,0,0.035075001,0,0,4,0,1,2,1,16,0,1,0,0,0,0,1,0.689623795,1.889932536,0.689623795,1.889932536,0.113398701,0.216985703,2019,SerieA
Roma -- Atalanta,0.056965299,0.406721007,1.753745924,0,0,0,0,2,0,0,1,2,10,0,0,0,0,0,0,0,25/09/2019 17:00,0,0.269187003,1.62629661,0,0.370894991,0,0,4,0,1,0,1,15,0,2,0,0,1,0,1,2.21743223,2.266378604,2.21743223,2.266378604,0.463686306,0.640081994,2019,SerieA
Fiorentina -- Sampdoria,0.294864502,0.400798108,1.148167986,0,0.111643497,0,1,6,0,1,3,3,8,0,3,0,1,1,0,0,25/09/2019 19:00,0,0.429086015,0.251475899,0,0.00943013,0,1,1,0,0,0,2,5,0,1,0,1,0,0,0,1.955474094,0.689992043,1.955474094,0.689992043,0.807306107,0.438516145,2019,SerieA
Genoa -- Bologna,0.0527489,0,0.124717603,0,0.037712101,0,0,1,0,0,1,0,4,0,2,0,0,0,0,0,25/09/2019 19:00,0.0664315,0.1698329,0.565030107,0.761259019,0.0240032,0,0,1,0,0,1,2,13,1,1,0,0,0,0,0,0.215178603,1.586556727,0.215178603,0.825297708,0.090461001,0.2602676,2019,SerieA
Inter -- Lazio,0,0,1.693353314,0,0.062960099,0,0,3,0,0,0,0,13,0,2,0,0,1,0,0,25/09/2019 19:00,0,0.481842715,0.887617286,0,0,0,1,3,0,0,0,3,7,0,0,0,0,0,0,0,1.756313413,1.369460002,1.756313413,1.369460002,0.062960099,0.481842715,2019,SerieA
